JURADO | TANGO PISTA CLASIFICATORIAS - 24 DE AGOSTO D                                                                                   z

                                                                                                                                        z

RONDA  PAREJA  Nombre y Apellido                       Nombre y Apellido       Laila Rezk  Fernando  Graciela  Silvina Valz  Sebastian     PROMEDIO

                                                                                           Carrasco  Gonzalez                Bolivar

15  622  Benjamín Grisoni            Anabel Fontela             6.610  6.500  7.250  6.820  6.030  6.642

20  497  Facundo Argañaraz           Saras Renner               7.030  6.660  7.200  6.280  6.000  6.634

23  544  Daniel Lanceros             Catherine Leduc            6.110  6.900  6.800  7.150  6.070  6.606

18  71   Roberto Americo Di Biase    Rosa Noemi Mateo           6.320  6.800  6.800  6.650  6.400  6.594

22  581  Franco Salazar              Belén Iglesias             7.250  6.160  6.950  6.600  5.980  6.588

19  785  Michael Bizquiazzo          Natalia Pintos             7.040  6.400  6.950  6.910  5.550  6.570
23  298  Domenico Loforte               Rossella Maino                        6.320  7.150  6.400  6.900  6.020  6.558

20  327  KOTARO NESHI                   AYAKA NESHI                           7.035  6.500  7.300  6.350  5.600  6.557

20  687  Cesar Gramajo Flores           Laura Quintero                        7.030  6.470  5.950  7.400  5.700  6.510

19  765  José Luis Barrios              Marcela Adriána Diaz                  6.890  6.100  6.950  6.480  6.100  6.504

15  689  Yanina Meisinger               Eduardo Lobatto                       6.850  6.100  6.800  6.750  6.000  6.500

22  296  Nahuel Sanchez                 Caren Maitena Cardoso                 6.830  6.150  6.800  6.700  6.000  6.496

26  317  József Tatorján                Szilvia Balogi                        7.100  6.200  6.950  6.500  5.700  6.490

19  197  Mariano Molina                 Gisela Mora                           6.980  6.330  5.850  6.900  6.250  6.462

18  631  Jose Enrique Iglesias Vigil    Galina Bogdanova                      6.270  6.250  7.800  6.150  5.750  6.444

22  433  ALI EKBER KAYA                 DIANELA VANESA DALL'OSSO              6.710  6.150  6.850  6.500  6.000  6.442

23  87   Carlos Alberto Lafuente        Maria ofelia Prado                    5.910  7.100  7.200  5.900  6.050  6.432

24  18   Bruno Berttacchini             Maite Alegre                          7.010  6.000  6.500  6.700  5.800  6.402

18  235  Carmen Oro                     Juan Manuel Valdiviezo                6.430  6.700  6.100  6.580  6.100  6.382

22  669  Facundo Oliva                  Valeria del Valle Castro              6.650  6.260  6.500  6.800  5.700  6.382

24  555  Javier Silva                   Florencia Navarro                     7.190  5.950  5.900  6.650  6.080  6.354

24  238  Jose Molina                    Brenda Sol Tonellotto                 7.150  6.150  5.800  6.550  6.100  6.350

18  514  Roberto Daniel Pankow          Silvia Mónica Barba                   6.310  6.700  6.500  6.050  6.120  6.336

21  270  Emmanuel Sebastian Iaccino     Sofía Deluchi                         7.410  6.170  5.700  6.650  5.750  6.336

20  363  Pablo German Fernandez         Pilar Castro                          6.870  6.750  5.900  6.500  5.650  6.334

27  348  Sergio Roque Pineda            Natalia Celeste Grossi                7.010  5.880  6.100  6.650  6.030  6.334

25  389  joaquin gavaldá                carolina garcia                       6.930  6.300  6.100  6.700  5.600  6.326

21  49   Caly Kwasnik                   laura raposso                         7.010  6.250  5.800  6.400  6.100  6.312

16  498  Pavel Razboynikov              Maria Pirozhkova                      6.430  6.190  6.300  6.350  6.140  6.282

27  615  Claudio Eduardo Aguilar Muñoz  Yoana Nicol Acuña Hernández           7.010  5.900  6.050  6.700  5.750  6.282

21  419  Luis Eduardo Peñafiel Chang    Laura Cristina Regueira               6.650  6.150  5.900  6.800  5.900  6.280

26  509  Christian Milano               Tissiana Correia                      7.150  6.120  5.300  6.900  5.900  6.274

24  770  Agustin Ñañez                  Ksenia Greben                         7.300  5.900  5.500  6.750  5.880  6.266

15  495  Francisco Scance               Carolina Lucia Lotitto                6.780  6.200  6.800  6.000  5.400  6.236

26  107  Augusto Testa                  MAIA DUEK                             6.890  6.100  6.050  6.350  5.400  6.158

21  649  Alejandro Javier Triunveri     Anabella Biasin                       6.780  6.100  5.700  6.500  5.700  6.156

27  308  Javier García                  Jessica Elizabeth Cisneros            6.650  5.950  5.900  6.450  5.800  6.150

27  39   Maximiliano Fernández Martín   Sabrina judith Nievas                 6.710  5.850  5.950  6.280  5.850  6.128

19  511  Matias Maximiliano Baptista    Julieta Slomka                        6.010  6.200  5.800  6.700  5.900  6.122

27  801  Nicolás Miguel                 Rachael Small                         6.370  5.890  5.800  6.350  5.970  6.076

17  456  Roberto Javier Bertellotti     Astrea Amerissis Carolina Ojeda Peña  6.240  5.750  6.500  6.420  5.420  6.066
18  170  DANIEL AVILA                   Diana LOPEZ BARRIOS         5.830  6.400  6.050  5.950  6.080  6.062

16  181  Cristian Carlos Espejo         María Agustina Brozzo       6.340  6.200  5.900  6.250  5.600  6.058

17  33   LUCAS COBATTI                  CARLA GALAN                 6.890  5.900  5.500  5.900  6.100  6.058

19  573  Cristian Plantera              Belén Szapowalo             6.730  6.250  5.800  6.000  5.500  6.056

22  673  Pablo Carrasco                 Fernanda Bazán              6.100  6.500  5.300  6.850  5.500  6.050

25  627  Carlos Maquieira               Florencia Malito            6.150  5.860  5.500  6.500  6.200  6.042

27  592  Néstor Videla                  Viviana Zinni               6.910  5.870  5.500  6.100  5.700  6.016

21  141  Vinay Samuel Mascarenhas       Diana Karen Cianca Tenorio  6.430  6.160  5.300  6.070  6.050  6.002

27  691  horacio gaston tolosa          brenda holtz                5.720  6.250  5.550  6.980  5.500  6.000

15  154  Facundo Borda                  Camila Lucía Bellino        6.340  5.800  6.500  5.900  5.400  5.988

26  614  Gastón Gerez                   Vanina Lorena Perepelizin   6.870  5.800  5.600  6.050  5.600  5.984

18  216  Mauricio Javier Andrada        Stella Maris Silveyra       5.710  6.500  5.900  5.900  5.800  5.962

20  474  Ryan  Vergara                  Sebastián Colavita          6.450  6.550  5.300  6.050  5.400  5.950

17  759  Diego Lucero                   Ana Sol Ortiz               6.850  5.800  5.600  5.950  5.400  5.920

23  526  Jose Valverde                  Ana María Quibrera          5.920  5.760  5.500  6.500  5.700  5.876

