JURADO  |  TANGO PISTA  SEMIS- 29 DE AGOSTO                                                                                                           z

                                                                                                                                                      z

RONDA      PAREJA       Nombre y Apellido        Nombre y Apellido                 Moira       Stella Baez  Daniel     Dante    Facundo de  Jimena       PROMEDIO

                                                                                   Castellano               Naccuchio  Sanchez  la Cruz     Hoeffner

13  373  Andrea Vighi                   Chiara Benati                   8.570  7.970  8.280  8.250  8.850  8.500  8.403

15  267  Konstantin Moshinskiy          analia alfaro                   8.800  8.290  8.209  8.400  8.120  8.600  8.403

4   563  Alejandro Beron                Kelly Lettieri                  8.470  8.100  8.810  7.990  8.380  8.660  8.402

16  157  Carlos Santos David            Mirella Santos David            8.320  8.050  8.960  8.000  8.420  8.660  8.402

8   640  Vicente Albarengo              Piera Primiterra                8.750  8.000  8.400  8.400  8.350  8.500  8.400

7   374  Batuhan Boy                    Nida İnceoğlu Boy               8.250  7.950  8.750  8.350  8.560  8.450  8.385

6   604  Juliano Andrade                Paula Emerick                   8.590  8.500  8.429  8.100  8.030  8.660  8.385

2   750  Sergio Bustos                  Jesica Gomez                    8.480  8.300  8.580  8.000  8.350  8.500  8.368

6   301  Alexander Desiatov             Maria Makarenko                 8.680  7.950  8.720  8.450  8.050  8.350  8.367

13  732  Xing Zhu Guo                   Jun Qiang Su                    8.220  7.800  8.930  7.850  8.660  8.700  8.360

1   510  Miguel Angel Quintero          Luciana Yanela Olivera Pedraza  8.450  8.350  8.699  8.100  8.050  8.500  8.358

5   132  Facundo Barrionuevo            Agustina Juanbelz               8.150  8.400  8.010  8.450  8.420  8.700  8.355

15  556  Rodrigo Hernan Saucedo         Magdalena Maria                 8.300  8.650  8.280  8.150  8.350  8.350  8.347

1   195  Daniel Boujon                  Yuki  Misaki                    8.620  8.250  8.680  8.100  7.760  8.660  8.345

4   397  Mateo Blandón                  Valeria Villa                   8.600  7.900  8.450  7.950  8.260  8.890  8.342
14  594  Dante Culcuy                   Veronica Vazquez         8.350  8.000  8.490  8.100  8.640  8.450  8.338

10  171  Damián Esell                   Noelia Soldera           8.480  7.950  9.000  7.900  8.110  8.560  8.333

11  288  Dmitrii Soldatov               Alina Sukretnaia         8.530  7.950  8.200  8.300  8.610  8.400  8.332

12  508  Mariela Josebachuili           Noelia Frias             8.880  7.950  7.900  8.300  8.410  8.550  8.332

13  305  Ariel Adrian Almiron           Aluminé Deluchi          7.870  8.270  8.160  8.350  8.790  8.550  8.332

14  237  Bumhee Lee                     Jia Han                  8.760  8.500  8.070  7.900  8.060  8.700  8.332

3   56   Raúl Choque                    Jorgelina Cohen          8.360  8.250  8.470  8.400  8.090  8.400  8.328

5   320  Sebastian Avendaño             Tania Gutierrez          8.320  8.700  8.009  8.100  8.440  8.400  8.328

10  111  David Samaniego                Roció Aragón Diani       8.620  7.800  8.730  7.900  8.610  8.300  8.327

15  739  Marina Belen Machado Riquelme  Emmanuel David Avendaño  8.380  8.800  8.109  8.150  8.610  7.900  8.325

5   738  Sandra Nadia Naccache          Jorge Carlos Lopez       8.120  8.320  8.970  7.900  8.110  8.500  8.320

8   231  Sangeon Nam                    Misun Bang               8.630  8.000  8.760  7.900  8.120  8.500  8.318

9   787  Javier Borlicher               Anabella Linzalata Raso  8.430  8.550  8.920  7.500  7.880  8.600  8.313

16  318  Maxi Copello                   Karen Terenzio           8.260  8.100  8.570  7.900  8.590  8.400  8.303

3   583  roque bravo                    Elise Barbot             8.590  8.500  8.250  7.800  8.750  7.900  8.298

6   585  Matias Goyeneche               Deysi Aguilera           8.520  8.550  8.960  8.000  7.890  7.850  8.295

14  385  Lucas Robañera                 becky Navarro            8.490  7.900  8.170  8.500  8.210  8.500  8.295

11  57   Gustavo Fabián Ippolito        Rosana Luján Porres      8.650  8.150  8.400  7.950  8.030  8.550  8.288

5   679  Federico Carrizo               Karina Dovbush           8.480  8.400  7.950  8.600  8.250  8.000  8.280

2   504  Kirill Parshakov               Elena Manevich           8.200  8.250  8.410  7.900  8.350  8.550  8.277

10  567  EZEQUIEL GOMEZ                 Viktoriia Tsivinskaia    8.750  7.900  8.270  8.000  7.980  8.750  8.275

14  520  Guillermo Cerneaz              Juan Pablo Ramírez       8.400  7.900  8.880  8.000  8.570  7.900  8.275

4   674  Ernesto Suter                  Paola Klinger            8.150  8.200  8.780  8.500  7.820  8.150  8.267

16  480  Adriel Cristhian Bournissen    Maria Soledad Mallo      8.100  7.900  8.045  8.300  8.650  8.550  8.258

3   393  David Ospina                   Paula Andrea Betancur    8.440  8.650  8.008  7.890  8.110  8.400  8.250

6   431  Facundo Berrios Valdez         Eliana de marco          8.660  7.900  8.230  7.990  8.410  8.250  8.240

10  546  Raúl Ehijo                     Ximena Santana           8.280  8.250  8.190  8.000  8.480  8.200  8.233

4   746  Humberto Pouchulu              Aura Tateossian          8.330  8.600  8.005  8.450  8.000  8.000  8.231

8   559  Yeferson Orrego                Andres Olaya             8.880  8.550  8.420  7.600  8.030  7.900  8.230

5   757  Facundo Arnedo                 Ana Barros               8.220  8.600  8.015  8.000  8.190  8.350  8.229

10  68   Dario Cieri                    Rocío de la Torre        8.560  7.800  8.019  8.400  8.020  8.560  8.227

7   653  Endre Szeghalmi                Andrea Serban            8.490  8.150  8.210  8.200  8.440  7.850  8.223

4   767  Mauro Caiazza                  Sabrina Amuchastegui     8.250  7.500  8.940  7.950  8.470  8.200  8.218

11  427  Carlos Ochoa                   Marisol Rivas            8.330  8.250  8.003  7.950  8.420  8.350  8.217

5   40   Diego Ezequiel Pérez           María Soledad Cantarini  8.400  7.950  9.000  7.800  8.400  7.700  8.208

7   481  Artem Dovbush                  Daria Pechatnikova       8.290  7.800  8.007  7.450  8.790  8.900  8.206

9   723  Nguyen Thi Thanh Phuong        Louie Canillo Serentas   8.000  8.300  8.330  7.900  8.140  8.550  8.203
13  467  Ezequiel Angel Franco Rodriguez  Sofia Belen Diaz                  7.950  8.150  8.324  8.600  8.190  8.000  8.202

9   502  Manuel Bianchi                   Michela Elicio                    8.380  8.100  8.050  8.000  8.330  8.350  8.202

