JURADO  |  TANGO PISTA  CUARTOS - 27 DE AGOSTO   B                                                                                        z

                                                                                                                                          z

RONDA      PAREJA       Nombre y Apellido           Nombre y Apellido               Daniel     Dante    Stella Baez  Claudia  Pablo Inza     PROMEDIO

                                                                                    Naccuchio  Sanchez               Codega

20  329  JUAN IGNACIO ETCHEVERRY          VERONICA BACHINI           7.505  7.400  6.900  7.020  7.270  7.219

17  674  Ernesto Suter                    Paola Klinger              7.330  7.200  7.250  7.190  7.120  7.218

21  357  Grzegorz Kałmuczak               Dominika Jasik             6.880  7.000  7.800  6.990  7.350  7.204

17  343  LUIS EMILIO CAPPELLETTI          vittoria franchina         6.970  7.000  7.650  7.010  7.370  7.200

27  462  Mariano Serrudo                  Ekaterina Malko            7.070  7.000  7.100  7.410  7.360  7.188
19  630  Guilherme Ferreira          Eliza Moritz                6.990  6.900  7.350  6.940  7.730  7.182

29  23   Santiago Marolo             Luna Mendez                 7.290  7.000  7.250  7.170  7.150  7.172

20  379  Lucio Javier Chavez         Nina Pauluzzi               6.850  7.500  7.150  7.030  7.310  7.168

21  563  Alejandro Beron             Kelly Lettieri              7.520  7.300  7.500  7.080  6.440  7.168

18  393  David Ospina                Paula Andrea Betancur       7.400  7.000  7.200  7.040  7.170  7.162

17  499  Franco Lus                  Bruna Lavaroni              6.880  7.100  7.850  6.980  6.980  7.158

29  754  Grigorios Adamidis          Sofia Chatzipavlou          7.008  7.300  7.000  7.090  7.370  7.154

25  371  Kevin Valencia              Valentina Villarreal        7.420  7.000  6.700  7.350  7.290  7.152

25  28   Lucas Nicolás Cartagena     Lucila Inés Díaz Colodrero  7.220  7.100  7.000  7.250  7.140  7.142

28  735  Paulina Hernandez           Aaron Barraza               6.950  7.300  7.100  7.310  7.050  7.142

24  183  Juan Pablo Valdebenito      Rosario BELEN GIMENEZ       7.240  7.000  7.200  7.390  6.860  7.138

28  279  Ivan Nabokin                Anastasia Makarova          6.750  6.950  7.400  7.370  7.220  7.138

23  356  Marcelo Sassi               Esther Ines Correa          7.010  7.400  7.580  6.810  6.880  7.136

25  316  Nicolás Cot                 Julieta Victoria Alao       7.007  7.600  6.900  7.000  7.170  7.135

20  428  Orlando Saccomanno          Lisa Gonzales Saccomanno    6.980  7.300  7.100  6.960  7.320  7.132

21  180  Abel Matias Cejas           Jorgelina Cañadas           6.990  6.300  7.800  7.380  7.180  7.130

28  447  Joel De la O Arredondo      Veronica Peinado Flores     6.980  7.000  7.000  7.390  7.260  7.126

16  110  ELIAS RAMON ABDALA          MARIA SILVINA DEL BOSQUE    7.155  7.300  7.800  6.080  7.280  7.123

22  314  MAURICIO JOSE GORBARÁN      MARIKO NAKATSUBO            7.400  7.100  6.900  7.030  7.160  7.118

30  693  Edgardo Patita Palleyro     María Rosa Corsisky         6.370  7.950  6.890  7.170  7.200  7.116

30  67   Aldo Romero                 Marcela Pilatti             6.470  7.100  7.200  7.160  7.650  7.116

22  167  Diego Leiva                 Maria Verónica Galvan       6.970  7.000  7.000  7.110  7.490  7.114

19  148  Federico Antonio Frete      Laura Ayelen Grimaldi       7.080  7.700  6.900  7.070  6.790  7.108

23  346  Fernando Barrios            Alicia Beliera              7.100  7.300  6.800  7.060  7.280  7.108

22  619  MARTIN EZEQUIEL IARUSSI     MARIA BELEN CORDOBA         6.700  7.250  7.700  6.970  6.860  7.096

18  478  Yoshi Shinji                Magdalena Benitez           6.990  7.300  7.400  6.900  6.880  7.094

30  172  Marcelo Alejandro Dulman    Andrea Gabriela Rebolini    6.520  7.400  7.300  7.000  7.240  7.092

26  142  Pablo Altamira              Virginia Cosci              7.009  6.800  7.250  7.080  7.320  7.092

18  319  Cristian Correa             Fiamma Clozza               7.015  7.300  7.900  6.000  7.220  7.087

28  507  Gera Lecich                 Silvana Meneses             6.960  6.000  7.800  7.340  7.310  7.082

21  516  NIKOLAOS PAPADIMITRIOU      NEFELI KOUMARIANOU          6.800  7.000  6.950  7.160  7.480  7.078

17  797  Matias Emmanuel Fuentealba  Valentina Medina            6.800  7.100  7.500  7.200  6.780  7.076

17  411  Maicol Mira                 Natalia Galain              7.250  6.900  7.450  6.520  7.230  7.070

27  19   Agustín Gutiérrez           Luz Mariel Mamani           7.190  7.000  7.000  7.060  7.100  7.070
26  771  Esteban Tripailao            Natalia Mora                          6.990  7.000  7.200  7.260  6.870  7.064

30  14   LUIS DIRASSAR                PATRICIA VAZQUEZ                      6.019  7.400  7.500  7.390  6.990  7.060

17  73   Jerry Perez                  Christine Marie Lopez                 6.950  6.900  7.000  7.020  7.420  7.058

16  441  Pedro Zamin                  Florencia Mendez                      7.160  6.500  7.100  6.990  7.530  7.056

16  65   Navir Salas Morales          Monica Sant'Anna Furtado de Mendonça  7.205  6.600  7.850  6.100  7.480  7.047

19  763  Pablo Nicolas Crededio       Galina Kostysheva                     6.970  6.700  7.150  7.090  7.310  7.044

21  243  Froyamel Corro               Angeles Carrión                       6.950  6.900  7.000  7.090  7.280  7.044

29  354  Pablo Lavadenz               Erika Claros                          6.890  6.900  7.000  7.180  7.250  7.044

27  554  Matias Rivas                 Romina Elizabeth Cordone              7.090  6.000  7.400  7.500  7.220  7.042

25  540  Pablo Martinez               Yuka Kutajima                         7.027  6.850  7.000  6.990  7.320  7.037

27  528  Valentín Arias delgado       Diana Paola Franco Durango            7.210  6.100  7.300  7.140  7.320  7.014

24  191  Vitalii Balan                IRINA MARTYNOVA                       7.200  7.000  7.100  6.990  6.760  7.010

25  137  Levan Gomelauri              Cecilia Acosta                        6.940  7.450  6.800  7.020  6.840  7.010

25  151  Pablo Andrade                Valeria Montes                        6.970  7.150  6.900  7.010  6.860  6.978

30  560  Horacio Aspiroz              Sandra Curiel                         6.060  7.750  6.800  7.380  6.880  6.974

23  716  Carlos Hipolito Bouzas       Ilma Lima                             6.970  6.800  6.900  6.850  7.240  6.952

30  338  CHANGO MONASTERIO            MONICA DEL HUERTO FLORES              6.240  7.800  6.700  7.080  6.890  6.942

21  219  Maximiliano Nicolás Almeyra  Yamila Daniela Herlein                7.420  6.500  7.350  6.990  6.440  6.940

23  85   Jorge edgardo Balatti        Gabriela Fabiana Forte                6.600  7.200  7.300  6.950  6.620  6.934

17  612  Angel Martin                 Anna Yablokova                        7.300  6.800  7.150  6.520  6.870  6.928

30  123  Alberto Angel Re             Maria Susana Eguaburo                 6.004  7.800  6.800  7.100  6.890  6.919

27  660  Julian Del Vecchio           Camila Diaz                           7.050  6.200  6.700  7.150  7.470  6.914

30  256  Luz Elena de Jurado          Eduardo Fabian Perez                  6.006  7.200  7.000  7.100  7.240  6.909

21  736  Estefani Deleón              Marcos Cañete                         6.970  7.000  7.000  6.940  6.560  6.894

19  497  Facundo Argañaraz            Saras Renner                          7.230  6.700  7.000  6.860  6.650  6.888

20  710  Marco Ten-Pow                Silvia Santini                        6.900  7.300  6.700  6.970  6.460  6.866

23  11   Carlos Alberto Martinez      Patricia Laura Gury                   7.190  7.200  6.750  6.400  6.760  6.860

30  334  Gabriel "colo" Bologna       Stella Sosa                           6.002  7.200  7.100  7.080  6.880  6.852

20  547  Timofei Filippov             Olga Domashova                        6.990  7.300  7.000  6.270  6.570  6.826

17  260  Martín Etcheverry Feely      Verónica Rueco                        7.150  6.200  7.400  6.010  7.230  6.798

23  745  Alejandro Montes de Oca      Liliana Beatriz del Valle             6.630  7.200  7.000  6.300  6.790  6.784

18  10   Juan Eduardo Andrada         María Laura Sastría                   7.400  6.200  7.400  5.980  6.780  6.752

19  678  Jorge Rey                    Maria Victoria Mussa                  6.820  6.500  6.650  6.950  6.730  6.730

23  269  Dancy Andrades               Salvador Antonio Rubio                6.450  6.800  6.700  6.800  6.570  6.664
