JURADO  |  TANGO PISTA  CUARTOS - 27 DE AGOSTO A                                                                                                    z

                                                                                                                                                    z

RONDA      PAREJA       Nombre y Apellido              Nombre y Apellido                 Moira Castellano  Ernesto    Jimena    Demian  Facundo de     PROMEDIO

                                                                                                           Balmaceda  Hoeffner  Garcia  la Cruz

10  594  Dante Culcuy                   Veronica Vazquez               7.350  7.110  7.520  7.600  7.180  7.352

11  559  Yeferson Orrego                Andres Olaya                   7.500  7.200  7.500  7.150  7.340  7.338

13  378  Adrian De Gregorio             Romina Cides                   7.220  7.850  7.260  7.280  7.000  7.322

4   491  Javier Oscar Jofre             Paola Susana Valdivia          7.290  7.900  7.700  7.400  6.250  7.308

3   282  Rommel Oramas                  Utha Callen                    7.100  7.780  7.450  7.200  6.950  7.296

13  522  Jorge Calabrigo                Tiziana Silva                  6.900  7.180  7.650  7.200  7.550  7.296

8   431  Facundo Berrios Valdez         Eliana de marco                7.700  6.950  7.400  7.050  7.350  7.290
15  147  Walter Schefer                      Silvina Hirschfeld                 7.630  7.300  7.400  7.250  6.850  7.286

7   40   Diego Ezequiel Pérez                María Soledad Cantarini            7.180  7.280  7.050  7.700  7.180  7.278

5   708  GABRIEL EDUARDO TOLABA              YANINA ANDREA CEBALLO HOYOS        7.450  7.220  6.900  7.300  7.500  7.274

14  177  Maximiliano Astorga                 Fernanda Valenzuela                6.770  7.250  7.560  7.300  7.450  7.266

2   508  Mariela Josebachuili                Noelia Frias                       7.350  7.600  7.600  6.400  7.350  7.260

13  532  JORGE PADILLA                       Ana Zoraida Gomez                  7.300  7.400  7.300  7.300  7.000  7.260

10  118  NICOLAS PONCE                       GRETA HEKIER                       7.280  7.200  7.450  7.450  6.850  7.246

12  502  Manuel Bianchi                      Michela Elicio                     6.890  7.400  7.250  7.400  7.290  7.246

15  414  Damián Roezgas                      Amira Luna Zarate                  6.830  6.900  7.600  7.380  7.510  7.244

6   529  Marcos Morinigo                     Marcela Subelza                    7.290  7.400  6.670  6.950  7.880  7.238

7   459  Lorenzo Emanuel Ledesma             Irina Baranova                     6.950  7.200  7.330  7.700  7.000  7.236

12  629  Emile Gayoso                        Sophie Cellarius                   7.420  6.720  7.330  7.500  7.180  7.230

12  732  Xing Zhu Guo                        Jun Qiang Su                       6.850  7.090  7.880  6.650  7.680  7.230

8   300  Vadim Cheremnykh                    Anna Shakirova                     7.150  7.280  7.465  6.900  7.350  7.229

10  636  Lionel Espindola                    Ambar Hidalgo                      7.690  6.400  7.600  7.150  7.180  7.204

14  574  Martu Salem                         Claudia Cortes Labarca             7.580  6.850  6.900  7.200  7.480  7.202

9   517  John Fredis Rendón Osorio           Diana Ismary González López        7.450  6.920  7.250  7.400  6.980  7.200

7   299  maximiliano Vega                    Pamela Camia                       7.250  7.400  7.380  6.700  7.220  7.190

15  63   Jared Ramos                         Rocío Selesan                      6.800  7.600  7.560  7.280  6.700  7.188

15  88   Daniel Toloza                       Goldie                             7.200  6.920  7.400  7.230  7.180  7.186

11  471  Francis Aguilar                     Sophie Sperling                    6.800  7.030  7.500  7.020  7.550  7.180

7   3    Julio Mariño                        Valeria Correa                     7.200  7.490  7.500  6.900  6.800  7.178

8   101  Walter Ezequiel Vilca               Micaela Soledad Alvarez            6.950  6.990  7.600  7.450  6.900  7.178

15  105  Guillermo Martínez                  Laura Alamo                        6.650  7.200  7.360  7.320  7.360  7.178

13  22   SERGIO SAUCET                       VERONICA CARINA PASCUAL            6.650  7.780  7.350  7.230  6.850  7.172

8   121  Walter Alberto Bergalo              Vanina Elizabeth Markov            7.050  7.300  7.700  6.880  6.900  7.166

10  204  Artem Topolian                      Barbara Benitez                    7.200  7.100  7.580  7.050  6.880  7.162

13  156  Alberto Leis                        Jorgelina Arrieta                  6.450  7.560  7.450  7.250  7.100  7.162

1   48   Łukasz Antoni Wiśniewski            Tekla Gogritchiani                 7.150  7.260  7.350  7.250  6.800  7.162

11  196  Felix Alberto Bon                   Angela Patricia Sarmiento Ramirez  7.100  7.030  7.400  7.100  7.150  7.156

14  717  Andres Felipe Gonzalez Ballesteros  Sara Gomez Quiroz                  6.900  7.090  7.650  7.230  6.900  7.154

11  220  Federico Borquez                    Agostina cala                      7.300  6.730  7.550  7.280  6.900  7.152

9   718  Micaela Diaz                        Anibal Millanao                    7.300  7.000  7.660  6.950  6.850  7.152

14  578  Horacio sepulveda                   Yésica Saavedra                    7.280  7.150  7.200  7.000  7.100  7.146

4   531  Branndon Cardenas                   Susana Ortiz                       6.500  7.280  7.450  6.700  7.780  7.142

11  421  Ilia Ligostaev                      Tatiana Berenzaft                  6.770  6.590  7.250  7.150  7.950  7.142
5   608  Aleksei Smirnov             Ekaterina Soloveva               7.250  6.970  7.730  6.900  6.800  7.130

8   527  wamber Sarazola             Julia Cayo                       7.100  7.150  7.700  6.850  6.850  7.130

9   705  Nicolás Alejandro Segovia   Milena Hopkins                   7.050  7.000  7.450  7.050  7.100  7.130

3   406  Leandro Matías Robledo      Mara Craham                      6.900  7.040  7.500  7.200  7.000  7.128

2   760  Marcelo Matías Conti        Ana Belén Lione                  7.380  6.940  7.150  7.200  6.900  7.114

6   312  Omar Mendoza                Eva Falxa                        6.800  7.100  7.250  7.230  7.180  7.112

12  457  Marcos Monzon               Elena Parlattore                 7.050  7.020  7.000  7.230  7.230  7.106

9   96   Pedro Robelto               Martha Patricia Caballero        6.850  6.970  7.550  6.850  7.280  7.100

8   402  Eduardo Román               Marilyn Mongui                   7.050  7.100  7.460  6.980  6.900  7.098

9   2    Vinicius Osterne Ribeiro    Gabriela Gómez Fernandez         6.860  6.650  7.550  7.220  7.160  7.088

14  764  Leandro Espinoza            Isabella Rissi                   7.200  7.280  6.950  6.950  7.000  7.076

3   377  Jorge Roberto Hualde        Claudia Elena Hernández          6.880  7.100  7.355  7.350  6.650  7.067

