JURADO  |  TANGO PISTA  CLASIFICATORIAS - 24 DE AGOSTO   C                                                                                            z

                                                                                                                                                      z

RONDA      PAREJA       Nombre y Apellido                   Nombre y Apellido               Maria Ines  Monica  Ricardo Calvo  Carolina     Pablo        PROMEDIO

                                                                                            Bogado      Matera                 Bonaventura  Giorgini

13  411  Maicol Mira                 Natalia Galain           7.200  6.950  7.700  7.250  7.050  7.230

10  545  Orhan Tekşen                elena akhmetova          6.900  7.890  7.350  6.890  7.050  7.216

7   269  Dancy Andrades              Salvador Antonio Rubio   6.700  7.840  7.000  7.500  7.000  7.208

3   763  Pablo Nicolas Crededio      Galina Kostysheva        7.150  7.550  7.450  6.720  7.100  7.194

3   704  Emiliano Mamani             Lucia Pertierra          7.100  7.450  7.500  6.850  6.950  7.170

10  302  Fadi Yahya                  Juliana Troles           6.850  7.870  7.600  6.450  6.950  7.144

6   760  Marcelo Matías Conti        Ana Belén Lione          7.100  7.500  7.400  6.600  7.050  7.130

3   188  Valentin Mayores            Constanza Cano Morel     7.100  7.420  7.400  6.680  7.000  7.120
1   207  Fernando Aranda Martinez        Yachiyo Kurokawa                 7.400  6.180  7.550  7.500  6.950  7.116

7   334  Gabriel "colo" Bologna          Stella Sosa                      6.750  7.890  7.200  6.650  7.050  7.108

14  408  José Eduardo Perez Pardo        Johanna Madelaine Guevara Pérez  6.950  7.300  7.400  6.970  6.900  7.104

13  3    Julio Mariño                    Valeria Correa                   7.150  6.900  7.550  6.980  6.850  7.086

8   396  Alex Amaya                      Gabriela Sosa                    6.850  7.720  7.550  6.700  6.600  7.084

4   409  Oscar Alfredo Alvelo            Margarita Maria Cormery          7.000  7.800  7.400  6.500  6.700  7.080

13  252  German R Marteau                Dulce Maria Gil                  7.250  6.800  7.450  6.800  7.100  7.080

2   205  Sandro Almiron                  NİHAL AİROLDİ                    6.950  7.400  7.250  6.750  7.000  7.070

12  7    Pablo Oscar Pacheco             María Eugenia Asnícar            6.650  7.870  7.400  6.550  6.850  7.064

6   643  salvador cordoba                Zarina  Notario                  7.000  7.600  7.500  6.680  6.500  7.056

5   273  Leonardo Salvador Guerra        Vendela Irene Chignac            6.950  7.900  6.900  6.800  6.650  7.040

3   564  MIchael Bijnens (MIJAEL BENES)  Alfonsina Macchi Herrera         7.050  7.430  7.900  6.700  6.100  7.036

11  51   Rafael D'Amici                  Glenda Ghetti                    7.150  6.680  7.500  6.750  7.050  7.026

12  659  Enrique Mario Peralta           Vanesa Amnini                    7.100  6.400  7.450  7.370  6.800  7.024

10  265  Jonatan Quispe                  Berenice Nunez                   7.050  6.950  7.650  6.500  6.950  7.020

3   569  Ilker Kerem Oksuz               Olena Oksuz                      6.950  7.600  6.800  6.730  7.000  7.016

1   50   Ezequiel cabrera                Maria itati lara Artigas         7.150  6.500  7.450  7.050  6.900  7.010

11  796  Leonardo Enrique Bedoya         Agustina Ríos Espinoza           7.150  6.670  7.650  6.560  7.000  7.006

10  311  TOMAS LEONARDO MORALES          NATALIA BIBIANA TREJO            6.700  7.550  7.300  6.450  6.900  6.980

9   202  Juan Carlos Pinilla Melo        Olga Viviana Sepúlveda Forero    7.050  6.750  7.450  6.700  6.900  6.970

14  699  Ale Ocampo                      Sofia Valentina Ocampo           7.100  6.520  7.600  6.720  6.900  6.968

5   439  Ignacio Fonseca                 Julieta Yanes                    6.850  7.300  7.200  6.620  6.850  6.964

7   610  Daniel Dávalos                  Paola   Pereyra                  7.100  6.200  7.500  6.980  7.000  6.956

10  266  Augusto Tovar                   Adriana Alicia Mazzotta          6.950  6.900  7.400  6.530  7.000  6.956

5   543  Lucas emanuel Nuñez             Victoria anabel Alvarenga        7.150  6.650  7.300  6.720  6.900  6.944

11  309  cristian lezcano                elisabet bertotti                7.100  6.690  7.400  6.720  6.800  6.942

5   789  Spas Georgiev                   Noelia Benz                      6.700  7.680  7.150  6.710  6.350  6.918

12  558  ALDO FUENTES                    ADA ROMERO                       6.600  7.840  7.550  6.100  6.500  6.918

3   415  Guillermo Rolón                 Agustina Lescano                 7.000  6.900  7.150  6.710  6.800  6.912

11  713  Serkan Kurkcu                   María Victoria Marin             6.950  6.650  7.500  6.600  6.850  6.910

4   513  Alcides Heraldo GONZALEZ        Marta Elena Saparrat             7.000  7.100  7.400  6.800  6.200  6.900

7   477  ALBERTO GERSZTENMAN             LAURA SANTAGÁPITA                7.150  6.300  7.300  6.740  7.000  6.898

6   35   Francisco Colina Sanchez        Sandra Samolik                   6.950  6.600  7.450  6.700  6.750  6.890

9   458  Matías Catanzaro                Chikako Murakoshi                6.950  5.900  7.600  7.000  7.000  6.890

3   501  Patricio Defilipis              Akane Ito                        6.950  6.920  7.200  6.620  6.750  6.888

9   692  Xi Yao                          Caterine Lima                    6.850  6.700  7.400  6.720  6.600  6.854
6   788  Arts Klints                       Cynthia Arroyo                   6.950  6.500  7.300  6.620  6.850  6.844

4   6    Humberto Morales                  Claudia SANESE                   6.900  6.200  6.660  7.830  6.600  6.838

11  683  ORIOL FERNANDO NEIRA              PATRICIA LILIANA GOMEZ           6.850  6.680  7.350  6.670  6.600  6.830

5   352  Armando Purificasion Aguilar      Alba Mariana Tolaba              6.850  6.600  7.000  6.650  7.000  6.820

5   410  Augusto Garcia                    Karolina Okrúguina               7.050  5.300  7.600  7.000  7.150  6.820

7   341  Marcelo Vega                      Carolina Ponce de León           6.850  6.250  7.350  6.650  6.900  6.800

7   258  Marcel Ramirez                    Maria Teresa Foderé              6.750  6.000  7.400  6.950  6.900  6.800

2   337  PANAGIOTIS POULIMENEAS            EVGENIA KAPSI                    6.650  6.050  7.500  6.720  6.900  6.764

1   291  Franco Fleitas                    Rocio Tapia                      6.900  6.250  7.300  6.640  6.650  6.748

1   250  Lorenzo Christiansen              Romanella Di Ferdinando          6.850  6.300  7.350  6.660  6.550  6.742

2   61   Marcelo Balín                     Maritza Intriago Martinez        7.100  6.150  7.300  6.700  6.350  6.720

4   162  Justo Jose Velez                  Nancy Angelica Romero            7.100  6.000  7.350  6.750  6.400  6.720

8   676  Horacio Lobo                      Evelyn Chavez                    6.500  5.600  7.650  6.900  6.950  6.720

1   445  Pedro Henrique Teixeira Vargas    Sabrina Ayelen Lopez             6.750  6.400  7.300  6.670  6.400  6.704

4   344  Gustavo Diaz                      Elsa Salguero                    6.950  5.550  7.300  6.730  6.950  6.696

1   677  ADAN ZARATE                       MONICA ROJAS                     6.800  6.200  7.200  6.650  6.500  6.670

14  542  Ariel Astorga                     Johana Herrera                   6.850  6.600  7.400  6.000  6.500  6.670

12  675  ROBERTO ADOLFO ALEMAN             CECILIA VIRGINIA HIJANO          7.150  5.900  7.500  5.800  6.950  6.660

11  17   Carlos Roch                       Marcela Medaglia                 6.500  7.100  7.000  6.200  6.500  6.660

14  790  Denise Lim                        Marcela Larrosa                  6.900  6.650  7.300  6.300  6.100  6.650

3   518  Valentino Cardenuto Morales       Sol Morena Aguirre Alzaran       6.750  6.800  7.000  6.630  6.000  6.636

2   128  Angel Maggi                       Sandra Flippo                    6.750  6.100  7.000  6.650  6.650  6.630

4   278  salvador saggese                  Cristina Saggese                 6.600  5.900  7.500  6.520  6.300  6.564

